Node,Node Number
Main bldg entrance,1
Main entrance,1
Main building staircase,2
Statue,2
Main Staircase,2
Staircase main bldg/statue,2
Dep1,3
Lab3,4
Computer Department,6
Comps dept,6
Computer Engineering Department,6
Al004,8
A. L. 004,8
CCF1,10
stiarcase for library,11
library staircase,11
Library,12
Steps area in quad,13
Quad steps,13
Ground Library Staircase,14
Quad Left staircase,14
cafeteria,15
Canteen,15
basketball court,16
quad,16
Stage,17
quad stage,17
washroom,19
Quad entrance ,19
Auditorium,21
Audi,21
Savitribai Phule Auditorium,21
VJTI Auditorium,21
A.i. lab,23
Hub,23
Blockchain  and a. i. lab,23
Artificila intelligence lab,23
Blockchain lab,23
BCT,23
Director office,24
Director's office,24
Principal's office,24
Director Sir's office,24
