Node number,Node Name,x_pos,y_pos,Type ,Floor,Building,Map Number
1,beg,715,23,,0,,1
2,,616,23,,0,,1
3,,616,200,,0,,1
4,Football Field,602,200,,0,,1
5,,616,506,,0,,1
6,Girls hostel,594,506,,0,,1
7,,616,334,,0,,1
8,,405,334,,0,,1
9,Boys hostel 1,405,346,,0,,1
10,,297,334,,0,,1
11,Boys hostel 2,297,346,,0,,1
12,,15,23,,0,,1
13,Cricket Ground,15,67,,0,,1
14,,0,100,,0,,3
15,,42,100,,0,,3
16,,42,528,,0,,3
17,Mech Gate,42,572,,0,,3
18,,109,528,,0,,3
19,Mech Building Entrance,109,501,,0,,3
20,,109,486,,0,,3
21,,109,467,,0,,3
22,,109,435,,0,,3
23,Staircase,71,486,,0,,3
24,Xerox Center,71,467,,0,,3
25,Girls Washroom,71,435,,0,,3
26,,152,435,,0,,3
27,Inside workshop #1,152,452,,0,,3
28,,240,458,,0,,3
29,,240,435,,0,,3
30,workshop #2,240,416,,0,,3
31,,373,435,,0,,3
32,Thermal Engineering Lab,373,416,,0,,3
33,,447,435,,0,,3
34,,494,435,,0,,3
35,Staircase,494,474,,0,,3
36,Washroom,509,454,,0,,3
37,DL001,547,441,,0,,3
38,DL002,601,417,,0,,3
39,,630,403,,0,,3
40,staircase,608,370,,0,,3
41,staircase,72,486,,1,,4
42,,132,486,,1,,4
43,,132,444,,1,,4
44,Girls Washroom,77,444,,1,,4
45,,219,444,,1,,4
46,,219,306,,1,,4
47,Main Seminar Hall,252,306,,1,,4
48,staircase,491,444,,1,,4
49,staircase,505,464,,1,,4
50,Girls Washroom,523,464,,1,,4
51,TPO,624,407,,1,,4
52,staircase,612,372,,1,,4
