Nodes,Adjacents
1,8
8,2
2,7
2,3
3,4
4,5
5,6
14,15
15,16
16,17
16,18
18,19
19,20
20,21
21,22
22,25
21,24
20,23
22,26
22,29
29,28
29,30
29,31
31,32
31,34
34,35
34,36
36,37
37,38
38,39
39,40
41,42
42,43
43,44
43,45
45,46
46,47
45,48
49,50
50,51
51,52
24,41
35,49
40,52
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
63,64
64,65
65,74
74,75
75,77
75,76
76,68
68,69
69,70
69,67
69,71
55,54
54,80
80,105
67,82
82,71
72,73
78,72
72,68
79,78
78,72
93,14
91,1
65,83
83,68
23,24
24,25
85,90
85,86
86,87
88,89
91,55
84,90
92,64
92,67
93,80
56,84
89,92
61,97
97,82
60,96
96,62
79,95
95,77
56,94
94,79
80,100
93,100
66,62
66,63
98,58
98,57
88,101
85,102
86,103
87,104
22,27
105,81
