Node number,Node Name,x_pos,y_pos,Type ,Floor,Building,Map Number
1,beg,715,23,,0,,1
2,,616,23,,0,,1
3,,616,200,,0,,1
4,Football Field,602,200,,0,,1
5,,616,506,,0,,1
6,Girls hostel,594,506,,0,,1
7,,616,334,,0,,1
8,,405,334,,0,,1
9,Boys hostel 1,405,346,,0,,1
10,,297,334,,0,,1
11,Boys hostel 2,297,346,,0,,1
12,,15,23,,0,,1
13,Cricket Ground,15,67,,0,,1
14,,0,100,,0,,3
15,,42,100,,0,,3
16,,42,528,,0,,3
17,Mech Gate,42,572,,0,,3
18,,109,528,,0,,3
19,Mech Building Entrance,109,501,,0,,3
20,,109,486,,0,,3
21,,109,467,,0,,3
22,,109,435,,0,,3
23,staircase,71,486,,0,,3
24,Xerox Center,71,467,,0,,3
25,boys washroom,71,435,,0,,3
26,,152,435,,0,,3
27,Inside workshop #1,152,452,,0,,3
28,,240,458,,0,,3
29,,240,435,,0,,3
30,workshop #2,240,416,,0,,3
31,,373,435,,0,,3
32,Thermal Engineering Lab,373,416,,0,,3
33,,447,435,,0,,3
34,,494,435,,0,,3
35,staircase,494,474,,0,,3
36,girls boys washroom,509,454,,0,,3
37,DL001,547,441,,0,,3
38,DL002,601,417,,0,,3
39,,630,403,,0,,3
40,staircase,608,370,,0,,3
41,staircase,72,486,,1,,3
42,,132,486,,1,,3
43,,132,444,,1,,3
44,girls washroom,77,444,,1,,3
45,,219,444,,1,,3
46,,219,306,,1,,3
47,Main Seminar Hall,252,306,,1,,3
48,staircase,491,444,,1,,3
49,staircase,505,464,,1,,3
50,girls washroom,523,464,,1,,3
51,TPO,624,407,,1,,3
52,staircase,612,372,,1,,3
53,main gate,291,69,,0,,2
54,,291,100,,0,,2
55,,184,100,,0,,2
56,statue,184,147,,0,,2
57,dep1,133,147,,0,,2
58,,10,147,,0,,2
59,Comps dept,10,222,,0,,2
60,,10,255,,0,,2
61,Study Space,33,255,,0,,2
62,,10,405,,0,,2
63,girls washroom,97,405,,0,,2
64,,112,405,,0,,2
65,,267,405,,0,,2
66,COE,68,405,,0,,2
67,CCF,112,333,,0,,2
68,canteen,267,333,,0,,2
69,,189,333,,0,,2
70,Quad steps,189,369,,0,,2
71,Stage,189,255,,0,,2
72,,267,203,,0,,2
73,girls washroom,202,203,,0,,2
74,,368,405,,0,,2
75,,368,333,,0,,2
76,canteen ,323,333,,0,,2
77,,368,147,,0,,2
78,,267,170,,0,,2
79,,267,147,,0,,2
80,,431,100,,0,,2
81,BCT Lab,431,145,,0,,2
82,,112,255,,0,,2
83,boys washroom,267,375,,0,,2
84,staircase,184,175,,0,,2
85,director office,280,175,,1,,2
86,Railway Concession Office,280,218,,1,,2
87,Civil Classroom,280,289,,1,,2
88,Library,77,360,,1,,2
89,staircase,112,360,,1,,2
90,staircase,184,175,,1,,2
91,,0,100,,0,,2
92,staircase,112,360,,0,,2
93,,637,100,,0,,2
